ExpendableClone,Niko Kanna,Manga,PuellaMagiKazumiMagica,Lesser God,ClonesAndCounterparts,Derivatives
TemporalDuplication,Lars Fillmore,WesternAnimation,Futurama,Demigod,ClonesAndCounterparts,Derivatives
CrystalDragonJesus,Aslan,Literature,TheChroniclesOfNarnia,Greater God,RealAndLegendaryPastiches,Derivatives
SatanicArchetype,Lucemon,Franchise,Digimon,Greater God,RealAndLegendaryPastiches,Derivatives
JeanneDArchetype Jeanne d'Arc,UsefulNotes,JoanOfArc,Greater God,RealAndLegendaryPastiches,Derivatives
TheAhnold,Jorgen Von Strangle,WesternAnimation,TheFairlyOddParents,Greater God,RealAndLegendaryPastiches,Derivatives
DemiurgeArchetype,Wick,ComicBook,CliveBarkersNextTestament,Greater God,RealAndLegendaryPastiches,Derivatives
LooksLikeJesus,Qui-Gon Jinn,Franchise,StarWars,Intermediate God,RealAndLegendaryPastiches,Derivatives
MessianicArchetype,Tassadar,VideoGame,StarCraft,Intermediate God,RealAndLegendaryPastiches,Derivatives
MrAltDisney,Bigweld,WesternAnimation,Robots,Lesser God,RealAndLegendaryPastiches,Derivatives
AuthorAvatar,Estonia,Webcomic,HetaliaAxisPowers,Lesser God,RealAndLegendaryPastiches,Derivatives
AudienceSurrogate,Jaune Arc,WebAnimation,RWBY,Lesser God,RealAndLegendaryPastiches,Derivatives
Trumplica,President Business,WesternAnimation,TheLegoMovie,Lesser God,RealAndLegendaryPastiches,Derivatives
MockCousteau,Steve Zissou,Film,TheLifeAquaticWithSteveZissou,Demigod,RealAndLegendaryPastiches,Derivatives
WarIsHell,Paul Bäumer,Literature,AllQuietOnTheWesternFront,Quasideity,ValuesAndEthics,Philosophy
